week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
9/15/24,Films (English),1,Rebel Ridge,N/A,84900000,2.2,38600000,2,FALSE,
9/15/24,Films (English),2,Uglies,N/A,35400000,1.7,20800000,1,FALSE,
9/15/24,Films (English),3,Into the Fire: The Lost Daughter,Into the Fire: The Lost Daughter: Season 1,20500000,2.5333,8100000,1,FALSE,
9/15/24,Films (English),4,The Deliverance,N/A,13100000,1.8833,7000000,3,FALSE,
9/15/24,Films (English),5,Fast & Furious Presents: Hobbs & Shaw,N/A,13100000,2.2667,5800000,3,FALSE,
9/15/24,Films (English),6,The Day After Tomorrow,N/A,11600000,2.0667,5600000,1,FALSE,
9/15/24,Films (English),7,Edge of Tomorrow,N/A,7700000,1.8833,4100000,1,FALSE,
9/15/24,Films (English),8,The Union,N/A,7000000,1.8167,3900000,5,FALSE,
9/15/24,Films (English),9,The Shack,N/A,7800000,2.2167,3500000,2,FALSE,
9/15/24,Films (English),10,Gemini Man,N/A,6800000,1.95,3500000,7,FALSE,
9/15/24,Films (Non-English),1,Officer Black Belt,N/A,15100000,1.8167,8300000,1,FALSE,
9/15/24,Films (Non-English),2,Outlaw,N/A,11600000,1.4,8300000,1,FALSE,
9/15/24,Films (Non-English),3,Sector 36,N/A,7400000,2.0667,3600000,1,FALSE,
9/15/24,Films (Non-English),4,How To Make Millions Before Grandma Dies,N/A,6300000,2.1167,3000000,1,FALSE,
9/15/24,Films (Non-English),5,Boxer,N/A,5900000,2.5333,2300000,1,FALSE,
9/15/24,Films (Non-English),6,"Disco, Ibiza, Locomía",N/A,2900000,1.7333,1700000,2,FALSE,
9/15/24,Films (Non-English),7,Doce Família,N/A,2500000,1.5,1700000,2,FALSE,
9/15/24,Films (Non-English),8,(Un)lucky Sisters,N/A,2000000,1.3833,1400000,3,FALSE,
9/15/24,Films (Non-English),9,Technoboys,N/A,2200000,1.8333,1200000,1,FALSE,
9/15/24,Films (Non-English),10,Mr. Bachchan,N/A,2600000,2.5,1000000,1,FALSE,
9/15/24,TV (English),1,The Perfect Couple,The Perfect Couple: Limited Series,111600000,5.1,21900000,2,FALSE,
